"","Year","ZIP.code","age","Number.of.Visits","Age.adjusted.rate","County.Fips.code","County"
"11843",2009,91303,"adult",82,47.8999939,6037,"los angeles"
"11844",2013,92881,"child",40,43.9,6065,"riverside"
"11845",2016,92882,"adult",122,23.2,6065,"riverside"
"11846",2016,93458,"child",183,92,6083,"santa barbara"
"11847",2016,91724,"adult",73,34.4,6037,"los angeles"
"11848",2013,92029,"adult",17,11.6,6073,"san diego"
"11849",2012,95019,"child",24,107.5999756,6087,"santa cruz"
"11850",2016,95376,"adult",260,68.3,6077,"san joaquin"
"11851",2009,93280,"adult",54,28.3999939,6029,"kern"
"11852",2009,93454,"adult",96,38.5,6083,"santa barbara"
"11853",2009,91208,"adult",19,14.09999847,6037,"los angeles"
"11854",2012,92227,"child",206,227.5,6025,"imperial"
"11855",2012,92102,"adult",189,60.3999939,6073,"san diego"
"11856",2014,90044,"adult",572,91.4,6037,"los angeles"
"11857",2009,90638,"child",75,64.89996338,6037,"los angeles"
"11858",2016,94107,"adult",59,24.3,6075,"san francisco"
"11859",2013,90620,"adult",131,37.1,6059,"orange"
"11860",2016,91350,"child",26,31.1,6037,"los angeles"
"11861",2015,94947,"child",20,41.3,6041,"marin"
"11862",2013,92649,"child",16,27.1,6059,"orange"
"11863",2009,90301,"adult",190,69.09997559,6037,"los angeles"
"11864",2014,93401,"adult",62,30,6079,"san luis obispo"
"11865",2016,91354,"adult",45,20.7,6037,"los angeles"
"11866",2012,92130,"adult",33,12.5,6073,"san diego"
"11867",2014,90021,"adult",30,89.8,6037,"los angeles"
"11868",2009,92401,"child",29,408.6999512,6071,"san bernardino"
"11869",2009,91207,"adult",17,18.5,6037,"los angeles"
"11870",2015,95816,"adult",57,51.4,6067,"sacramento"
"11871",2015,94502,"adult",17,21.1,6001,"alameda"
"11872",2009,95821,"adult",188,70.5,6067,"sacramento"
"11873",2009,91206,"adult",67,23.59999085,6037,"los angeles"
"11874",2014,94024,"adult",13,7.7,6085,"santa clara"
"11875",2009,90062,"adult",170,82.59997559,6037,"los angeles"
"11876",2013,90621,"adult",103,42.1,6059,"orange"
"11877",2016,92234,"child",64,50.9,6065,"riverside"
"11878",2009,91506,"child",20,50.29998779,6037,"los angeles"
"11879",2009,93267,"adult",14,34.3999939,6107,"tulare"
"11880",2009,91204,"adult",57,45.79998779,6037,"los angeles"
"11881",2015,90805,"adult",487,72.3,6037,"los angeles"
"11882",2009,90505,"adult",50,17,6037,"los angeles"
"11883",2016,94542,"child",14,57.7,6001,"alameda"
"11884",2012,94590,"adult",399,148.7999268,6095,"solano"
"11885",2014,96021,"child",24,53.2,6103,"tehama"
"11886",2013,95205,"child",145,110.5,6077,"san joaquin"
"11887",2016,93433,"adult",40,40.8,6079,"san luis obispo"
"11888",2015,90024,"child",13,36.6,6037,"los angeles"
"11889",2015,92821,"adult",78,24.7,6059,"orange"
"11890",2015,91351,"adult",96,44.4,6037,"los angeles"
"11891",2009,91354,"adult",24,13.59999847,6037,"los angeles"
"11892",2015,92557,"child",106,74,6065,"riverside"
"11893",2012,92567,"child",16,59.59997559,6065,"riverside"
"11894",2012,95023,"adult",123,35.09997559,6069,"san benito"
"11895",2013,90505,"child",35,49.2,6037,"los angeles"
"11896",2009,90805,"adult",410,65.39996338,6037,"los angeles"
"11897",2009,96055,"adult",13,43.79998779,6103,"tehama"
"11898",2015,95215,"child",37,56.1,6077,"san joaquin"
"11899",2013,93117,"adult",56,13.4,6083,"santa barbara"
"11900",2009,93240,"adult",20,48.29998779,6029,"kern"
"11901",2013,90039,"adult",88,38.6,6037,"los angeles"
"11902",2012,93458,"child",146,75.89996338,6083,"santa barbara"
"11903",2012,94102,"adult",316,113.7999878,6075,"san francisco"
"11904",2014,94952,"child",33,49.6,6097,"sonoma"
"11905",2015,94515,"adult",15,29.1,6055,"napa"
"11906",2013,92301,"child",153,126.9,6071,"san bernardino"
"11907",2009,91103,"adult",74,35.8999939,6037,"los angeles"
"11908",2009,91101,"adult",55,35,6037,"los angeles"
"11909",2012,93003,"adult",83,20.8999939,6111,"ventura"
