"Year","County","sum_visits"
2014,"Trinity",88
2014,"Tulare",4459
2014,"Tuolumne",385
2014,"Ventura",5551
2014,"Yolo",1540
2014,"Yuba",572
2015,"Alameda",19557
2015,"Amador",308
2015,"Butte",1996
2015,"Calaveras",188
2015,"Colusa",160
2015,"Contra Costa",13501
2015,"Del Norte",258
2015,"El Dorado",835
2015,"Fresno",15501
2015,"Glenn",216
2015,"Humboldt",1279
2015,"Imperial",2632
2015,"Inyo",124
2015,"Kern",11363
2015,"Kings",2379
2015,"Lake",870
2015,"Lassen",236
2015,"Los Angeles",103334
2015,"Madera",2034
2015,"Marin",908
2015,"Mariposa",113
2015,"Mendocino",816
2015,"Merced",4714
2015,"Modoc",68
2015,"Mono",76
2015,"Monterey",4128
2015,"Napa",1097
2015,"Nevada",612
2015,"Orange",20158
2015,"Placer",2066
2015,"Plumas",149
2015,"Riverside",19796
2015,"Sacramento",19812
2015,"San Benito",546
2015,"San Bernardino",24777
2015,"San Diego",22691
2015,"San Francisco",5974
2015,"San Joaquin",9439
2015,"San Luis Obispo",1673
2015,"San Mateo",5201
2015,"Santa Barbara",3323
2015,"Santa Clara",12450
2015,"Santa Cruz",1715
2015,"Shasta",1839
2015,"Siskiyou",239
2015,"Solano",6098
2015,"Sonoma",3575
2015,"Stanislaus",6396
2015,"Sutter",623
2015,"Tehama",601
2015,"Trinity",45
2015,"Tulare",4766
2015,"Tuolumne",397
2015,"Ventura",5705
2015,"Yolo",1614
2015,"Yuba",626
2016,"Alameda",18038
2016,"Amador",299
2016,"Butte",1473
2016,"Calaveras",186
2016,"Colusa",80
2016,"Contra Costa",11921
2016,"Del Norte",320
2016,"El Dorado",880
2016,"Fresno",13521
2016,"Glenn",179
2016,"Humboldt",1277
2016,"Imperial",2416
2016,"Inyo",122
2016,"Kern",9663
2016,"Kings",1989
2016,"Lake",907
2016,"Lassen",193
2016,"Los Angeles",100416
2016,"Madera",1855
2016,"Marin",913
2016,"Mariposa",96
2016,"Mendocino",744
2016,"Merced",4300
2016,"Modoc",90
2016,"Mono",58
2016,"Monterey",3747
2016,"Napa",813
2016,"Nevada",470
2016,"Orange",17313
2016,"Placer",1804
2016,"Plumas",120
2016,"Riverside",18769
2016,"Sacramento",17591
2016,"San Benito",508
2016,"San Bernardino",21849
2016,"San Diego",19528
2016,"San Francisco",5807
2016,"San Joaquin",8341
2016,"San Luis Obispo",1640
2016,"San Mateo",4640
2016,"Santa Barbara",3096
2016,"Santa Clara",10484
2016,"Santa Cruz",1623
2016,"Shasta",1274
2016,"Siskiyou",149
2016,"Solano",6644
2016,"Sonoma",3105
2016,"Stanislaus",5378
2016,"Sutter",588
2016,"Tehama",610
2016,"Trinity",19
2016,"Tulare",3716
2016,"Tuolumne",371
2016,"Ventura",5068
2016,"Yolo",1466
2016,"Yuba",521
