Year,ZIP code,Age Group,Number of Visits,Age-adjusted rate,County Fips code,County
2009,90046,All Ages,108,24.79998779,6037,Los Angeles
2009,90046,Children (0-17),22,44.59997559,6037,Los Angeles
2009,90047,Adults (18+),427,117.3999634,6037,Los Angeles
2009,90047,All Ages,663,128.2999268,6037,Los Angeles
2009,90047,Children (0-17),236,159.8999023,6037,Los Angeles
2009,90048,Adults (18+),41,18.69999695,6037,Los Angeles
2009,90048,All Ages,56,31.5,6037,Los Angeles
2009,90048,Children (0-17),15,68.09997559,6037,Los Angeles
2009,90049,Adults (18+),22,8,6037,Los Angeles
2009,90049,All Ages,42,15.69999695,6037,Los Angeles
2009,90049,Children (0-17),20,37.79998779,6037,Los Angeles
2009,90056,Adults (18+),34,56.29998779,6037,Los Angeles
2009,90056,All Ages,53,68.39996338,6037,Los Angeles
2009,90056,Children (0-17),19,103.3999634,6037,Los Angeles
2009,90057,Adults (18+),135,42.59997559,6037,Los Angeles
2009,90057,All Ages,258,54.5,6037,Los Angeles
2009,90057,Children (0-17),123,89,6037,Los Angeles
2009,90058,Adults (18+),12,65.5,6037,Los Angeles
2009,90058,All Ages,36,91.89996338,6037,Los Angeles
2009,90058,Children (0-17),24,168.0999756,6037,Los Angeles
2009,90059,Adults (18+),218,87.09997559,6037,Los Angeles
2009,90059,All Ages,470,104.7999878,6037,Los Angeles
2009,90059,Children (0-17),252,155.8999023,6037,Los Angeles
2009,90061,Adults (18+),217,119.5,6037,Los Angeles
2009,90061,All Ages,356,125.0999756,6037,Los Angeles
2009,90061,Children (0-17),139,141.5,6037,Los Angeles
2009,90062,Adults (18+),170,82.59997559,6037,Los Angeles
2009,90062,All Ages,312,100.3999634,6037,Los Angeles
2009,90062,Children (0-17),142,151.7999268,6037,Los Angeles
2009,90063,Adults (18+),173,46.3999939,6037,Los Angeles
2009,90063,All Ages,304,50.79998779,6037,Los Angeles
2009,90063,Children (0-17),131,63.69998169,6037,Los Angeles
2009,90064,Adults (18+),32,15.09999847,6037,Los Angeles
2009,90064,All Ages,52,22.5,6037,Los Angeles
2009,90064,Children (0-17),20,43.79998779,6037,Los Angeles
2009,90065,Adults (18+),152,43.5,6037,Los Angeles
2009,90065,All Ages,253,50.8999939,6037,Los Angeles
2009,90065,Children (0-17),101,72.09997559,6037,Los Angeles
2009,90066,Adults (18+),95,20.59999085,6037,Los Angeles
2009,90066,All Ages,149,27.69999695,6037,Los Angeles
2009,90066,Children (0-17),54,48.09997559,6037,Los Angeles
2009,90068,Adults (18+),24,10.59999847,6037,Los Angeles
2009,90068,All Ages,34,17.79998779,6037,Los Angeles
2009,90068,Children (0-17),,,6037,Los Angeles
2009,90069,Adults (18+),38,17.79998779,6037,Los Angeles
2009,90069,All Ages,45,26.29998779,6037,Los Angeles
2009,90069,Children (0-17),,,6037,Los Angeles
2009,90201,Adults (18+),241,45.5,6037,Los Angeles
2009,90201,All Ages,498,49.3999939,6037,Los Angeles
2009,90201,Children (0-17),257,60.5,6037,Los Angeles
